ID (DOKUNMAYIN),Kategori,Ürün Adı,Boyut (S/M/L veya Standart),Mevcut Reçete Durumu,Hammadde 1,Miktar 1,Hammadde 2,Miktar 2,Hammadde 3,Miktar 3,Hammadde 4,Miktar 4,Hammadde 5,Miktar 5
45,Frappeler,Beyaz Çikolata Frappe,Small,VAR,Espresso Çekirdeği,9,Süt: Normal (Tam Yağlı),100,Sos: Beyaz Çikolata,10,Şurup: Beyaz Çikolata,20,Toz: Frappe,5
45,Frappeler,Beyaz Çikolata Frappe,Medium,VAR,Espresso Çekirdeği,18,Süt: Normal (Tam Yağlı),150,Şurup: Beyaz Çikolata,30,Sos: Beyaz Çikolata,15,Toz: Frappe,5
45,Frappeler,Beyaz Çikolata Frappe,Large,VAR,Espresso Çekirdeği,18,Süt: Normal (Tam Yağlı),180,Şurup: Beyaz Çikolata,40,Sos: Beyaz Çikolata,20,Toz: Frappe,5
42,Frappeler,Caramel Frappe,Small,VAR,Espresso Çekirdeği,9,Süt: Normal (Tam Yağlı),100,Şurup: Karamel,20,Sos: Salted Karamel,10,Toz: Frappe,5
42,Frappeler,Caramel Frappe,Medium,VAR,Espresso Çekirdeği,18,Süt: Normal (Tam Yağlı),150,Şurup: Karamel,30,Sos: Salted Karamel,15,Toz: Frappe,5
42,Frappeler,Caramel Frappe,Large,VAR,Espresso Çekirdeği,18,Süt: Normal (Tam Yağlı),180,Şurup: Karamel,40,Sos: Salted Karamel,20,Toz: Frappe,5
44,Frappeler,Vanilla Frappe,Small,VAR,Espresso Çekirdeği,9,Süt: Normal (Tam Yağlı),100,Şurup: Vanilya,20,Toz: Frappe,5,,
44,Frappeler,Vanilla Frappe,Medium,VAR,Espresso Çekirdeği,18,Süt: Normal (Tam Yağlı),150,Şurup: Vanilya,30,Toz: Frappe,5,,
44,Frappeler,Vanilla Frappe,Large,VAR,Espresso Çekirdeği,18,Süt: Normal (Tam Yağlı),180,Şurup: Vanilya,40,Toz: Frappe,5,,
43,Frappeler,Çikolata Frappe,Small,VAR,Espresso Çekirdeği,9,Süt: Normal (Tam Yağlı),100,Şurup: Çikolata,20,Sos: Çikolata,15,Toz: Frappe,5
43,Frappeler,Çikolata Frappe,Medium,VAR,Espresso Çekirdeği,18,Süt: Normal (Tam Yağlı),150,Şurup: Çikolata,30,Sos: Çikolata,20,Toz: Frappe,5
43,Frappeler,Çikolata Frappe,Large,VAR,Espresso Çekirdeği,18,Süt: Normal (Tam Yağlı),180,Şurup: Çikolata,40,Sos: Çikolata,25,Toz: Frappe,5
101,Kahve Çekirdekleri,Espresso Çekirdeği (250g),Standart,YOK,,,,,,,,,,
102,Kahve Çekirdekleri,Filtre Kahve Çekirdeği (250g),Standart,YOK,,,,,,,,,,
103,Kahve Çekirdekleri,Türk Kahvesi Çekirdeği (250g),Standart,YOK,,,,,,,,,,
54,Matchalar,Matcha Latte,Small,YOK,,,,,,,,,,
